#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
Staphylococcus aureus subsp. aureus NCTC 8325,NCTC 8325,19988,SAMN02604235 ,PRJNA237,Terrabacteria group,Firmicutes,GCA_000013425.1 ,2.82136,32.9,chromosome:NC_007795.1/CP000253.1,-,1,2872,2767,2006/2/13,2016/8/3,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/425/GCF_000013425.1_ASM1342v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/425/GCA_000013425.1_ASM1342v1
Staphylococcus aureus RF122,RF122,19988,SAMEA3138186 ,PRJNA63,Terrabacteria group,Firmicutes,GCA_000009005.1 ,2.74253,32.8,chromosome:NC_007622.1/AJ938182.1,-,1,2866,2591,2005/11/24,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/005/GCF_000009005.1_ASM900v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/005/GCA_000009005.1_ASM900v1
Staphylococcus aureus subsp. aureus ST398,type strain:ST398,19988,SAMEA2272644 ,PRJEA29427,Terrabacteria group,Firmicutes,GCA_000009585.1 ,2.88537,32.8898,chromosome:NC_017333.1/AM990992.1; plasmid pS0385-1:NC_017334.1/AM990993.1; plasmid pS0385-2:NC_017335.1/AM990994.1; plasmid pS0385-3:NC_017336.1/AM990995.1,-,4,2987,2783,2010/1/7,2018/1/11,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/585/GCF_000009585.1_ASM958v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/585/GCA_000009585.1_ASM958v1
Staphylococcus aureus subsp. aureus N315,N315,19988,SAMD00061099 ,PRJNA264,Terrabacteria group,Firmicutes,GCA_000009645.1 ,2.83947,32.7644,chromosome:NC_002745.2/BA000018.3; plasmid pN315:NC_003140.1/AP003139.1,-,2,2939,2776,2001/4/21,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/645/GCF_000009645.1_ASM964v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/645/GCA_000009645.1_ASM964v1
Staphylococcus aureus subsp. aureus Mu50,Mu50,19988,SAMD00061098 ,PRJNA263,Terrabacteria group,Firmicutes,GCA_000009665.1 ,2.90364,32.8654,chromosome:NC_002758.2/BA000017.4; plasmid VRSAp:NC_002774.1/AP003367.1,-,2,3038,2868,2001/10/4,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/665/GCF_000009665.1_ASM966v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/665/GCA_000009665.1_ASM966v1
Staphylococcus aureus subsp. aureus Mu3,Mu3,19988,SAMD00060910 ,PRJDA18509,Terrabacteria group,Firmicutes,GCA_000010445.1 ,2.88017,32.9,chromosome:NC_009782.1/AP009324.1,-,1,3007,2842,2007/9/3,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/445/GCF_000010445.1_ASM1044v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/445/GCA_000010445.1_ASM1044v1
Staphylococcus aureus subsp. aureus str. Newman,Newman,19988,SAMD00060913 ,PRJDA18801,Terrabacteria group,Firmicutes,GCA_000010465.1 ,2.8789,32.9,chromosome:NC_009641.1/AP009351.1,-,1,3065,2919,2007/7/2,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/465/GCF_000010465.1_ASM1046v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/465/GCA_000010465.1_ASM1046v1
Staphylococcus aureus subsp. aureus MW2,MW2,19988,SAMD00061104 ,PRJNA306,Terrabacteria group,Firmicutes,GCA_000011265.1 ,2.82046,32.8,chromosome:NC_003923.1/BA000033.2,-,1,2934,2778,2002/5/31,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/265/GCF_000011265.1_ASM1126v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/265/GCA_000011265.1_ASM1126v1
Staphylococcus aureus subsp. aureus MRSA252,MRSA252,19988,SAMEA1705935 ,PRJNA265,Terrabacteria group,Firmicutes,GCA_000011505.1 ,2.90262,32.8,chromosome:NC_002952.2/BX571856.1,-,1,3016,2819,2001/11/6,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/505/GCF_000011505.1_ASM1150v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/505/GCA_000011505.1_ASM1150v1
Staphylococcus aureus subsp. aureus MSSA476,MSSA476,19988,SAMEA1705922 ,PRJNA266,Terrabacteria group,Firmicutes,GCA_000011525.1 ,2.82045,32.867,chromosome:NC_002953.3/BX571857.1; plasmid pSAS:NC_005951.1/BX571858.1,-,2,2935,2770,2001/11/6,2017/3/2,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/525/GCF_000011525.1_ASM1152v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/525/GCA_000011525.1_ASM1152v1
